--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
102.696  000.367  000.367: require('telescope.pickers.highlights')
103.019  000.322  000.322: require('telescope.pickers.window')
103.737  000.338  000.338: require('telescope.algos.linked_list')
103.739  000.719  000.381: require('telescope.entry_manager')
103.958  000.218  000.218: require('telescope.pickers.multi')
103.967  004.047  000.826: require('telescope.pickers')
104.277  000.309  000.309: require('telescope.themes')
104.352  047.424  001.553: require('octo.pickers.telescope.provider')
106.956  000.355  000.355: require('cmp.utils.debug')
107.651  000.324  000.324: require('cmp.utils.char')
107.654  000.697  000.373: require('cmp.utils.str')
108.884  000.384  000.384: require('cmp.utils.misc')
109.209  000.323  000.323: require('cmp.utils.buffer')
109.563  000.353  000.353: require('cmp.utils.api')
109.569  001.573  000.513: require('cmp.utils.keymap')
109.570  001.915  000.342: require('cmp.utils.feedkeys')
114.121  000.480  000.480: require('cmp.types.cmp')
114.685  000.562  000.562: require('cmp.types.lsp')
115.046  000.360  000.360: require('cmp.types.vim')
115.049  001.927  000.524: require('cmp.types')
115.061  004.541  002.614: require('cmp.config.mapping')
115.421  000.358  000.358: require('cmp.utils.cache')
116.345  000.486  000.486: require('cmp.config.compare')
116.348  000.926  000.439: require('cmp.config.default')
116.365  006.356  000.532: require('cmp.config')
116.384  006.813  000.457: require('cmp.utils.async')
117.252  000.418  000.418: require('cmp.utils.pattern')
117.255  000.869  000.451: require('cmp.context')
134.100  000.996  000.996: require('cmp.utils.snippet')
134.620  000.516  000.516: require('cmp.matcher')
134.624  016.790  015.278: require('cmp.entry')
134.629  017.373  000.583: require('cmp.source')
135.438  000.330  000.330: require('cmp.utils.event')
136.891  000.397  000.397: require('cmp.utils.options')
136.894  000.872  000.475: require('cmp.utils.window')
136.895  001.456  000.585: require('cmp.view.docs_view')
137.954  000.423  000.423: require('cmp.utils.autocmd')
137.965  001.069  000.645: require('cmp.view.custom_entries_view')
138.592  000.626  000.626: require('cmp.view.wildmenu_entries_view')
139.028  000.434  000.434: require('cmp.view.native_entries_view')
139.542  000.513  000.513: require('cmp.view.ghost_text_view')
139.553  004.922  000.493: require('cmp.view')
140.092  034.113  001.168: require('cmp.core')
140.501  000.341  000.341: require('cmp.config.sources')
141.095  000.592  000.592: require('cmp.config.window')
141.157  035.792  000.746: require('cmp')
141.968  000.603  000.603: require('xcodebuild')
142.449  000.480  000.480: require('xcodebuild.core.config')
142.941  000.445  000.445: require('xcodebuild.core.autocmd')
144.123  000.664  000.664: require('xcodebuild.helpers')
144.584  000.460  000.460: require('xcodebuild.util')
145.926  000.557  000.557: require('xcodebuild.broadcasting.notifications')
146.299  000.371  000.371: require('xcodebuild.broadcasting.events')
147.592  000.364  000.364: require('xcodebuild.core.constants')
148.087  000.494  000.494: require('xcodebuild.integrations.xcodebuild-offline')
148.091  001.792  000.933: require('xcodebuild.core.xcode')
148.600  000.508  000.508: require('xcodebuild.project.config')
149.480  000.550  000.550: require('xcodebuild.project.appdata')
149.482  000.880  000.330: require('xcodebuild.tests.snapshots')
150.156  000.674  000.674: require('xcodebuild.platform.device_proxy')
150.162  005.576  000.794: require('xcodebuild.ui.pickers')
151.310  000.603  000.603: require('xcodebuild.tests.search')
151.316  001.150  000.547: require('xcodebuild.xcode_logs.panel')
151.817  000.501  000.501: require('xcodebuild.code_coverage.coverage')
152.583  000.354  000.354: require('xcodebuild.platform.macos')
152.586  000.767  000.413: require('xcodebuild.platform.device')
153.597  001.011  001.011: require('xcodebuild.tests.explorer')
154.556  000.435  000.435: require('xcodebuild.project.builder')
155.523  000.472  000.472: require('xcodebuild.integrations.quick')
155.526  000.969  000.497: require('xcodebuild.tests.diagnostics')
155.890  000.363  000.363: require('xcodebuild.tests.provider')
155.893  002.295  000.528: require('xcodebuild.tests.runner')
156.729  000.835  000.835: require('xcodebuild.project.manager')
157.310  000.580  000.580: require('xcodebuild.project.assets')
157.742  000.429  000.429: require('xcodebuild.integrations.lsp')
158.236  000.493  000.493: require('xcodebuild.core.previews')
158.252  015.280  000.519: require('xcodebuild.actions')
160.402  000.378  000.378: require('nui.object')
162.150  000.539  000.539: require('vim.version')
163.015  001.893  001.355: require('nui.utils')
163.049  002.348  000.455: require('nui.text')
163.055  002.652  000.304: require('nui.line')
163.086  003.884  000.854: require('nui.popup.border')
163.581  000.494  000.494: require('nui.utils.buf_storage')
164.138  000.556  000.556: require('nui.utils.autocmd')
164.498  000.359  000.359: require('nui.utils.keymap')
164.996  000.497  000.497: require('nui.layout.utils')
165.031  006.343  000.554: require('nui.popup')
165.882  000.352  000.352: require('nui.tree.util')
165.891  000.859  000.507: require('nui.tree')
165.896  007.642  000.440: require('xcodebuild.code_coverage.report')
166.267  000.368  000.368: require('xcodebuild.integrations.nvim-tree')
166.667  000.400  000.400: require('xcodebuild.integrations.oil-nvim')
167.057  000.389  000.389: require('xcodebuild.integrations.neo-tree')
167.615  000.557  000.557: require('xcodebuild.integrations.xcode-build-server')
171.621  000.466  000.466: require('neo-tree.log')
172.017  000.394  000.394: require('neo-tree.utils._compat')
172.066  002.610  001.750: require('neo-tree.utils')
172.422  000.355  000.355: require('neo-tree.collections')
172.837  000.414  000.414: require('neo-tree.health.typecheck')
172.839  003.842  000.463: require('neo-tree.events.queue')
172.841  004.282  000.439: require('neo-tree.events')
173.603  000.644  000.644: require('snacks.picker')
174.926  000.380  000.380: require('xcodebuild.ui.pickers_utils')
174.934  000.990  000.610: require('xcodebuild.integrations.telescope-nvim')
176.468  000.466  000.466: require('git-worktree.enum')
176.872  000.402  000.402: require('git-worktree.status')
176.936  001.757  000.889: require('git-worktree')
177.477  000.283  000.283: require('netrw.config')
177.478  000.540  000.257: require('netrw')
177.843  000.306  000.306: require('neo-tree')
178.706  000.271  000.271: require('mason-core.path')
179.638  000.253  000.253: require('mason-core.functional.data')
179.870  000.231  000.231: require('mason-core.functional.function')
180.200  000.326  000.326: require('mason-core.functional.list')
180.470  000.265  000.265: require('mason-core.functional.relation')
180.799  000.326  000.326: require('mason-core.functional.logic')
181.066  000.265  000.265: require('mason-core.functional.number')
181.302  000.233  000.233: require('mason-core.functional.string')
181.502  000.196  000.196: require('mason-core.functional.table')
181.735  000.231  000.231: require('mason-core.functional.type')
181.737  002.648  000.322: require('mason-core.functional')
181.768  003.061  000.413: require('mason-core.platform')
182.070  000.026  000.026: require('vim.fs')
182.087  000.318  000.292: require('mason.settings')
182.089  003.949  000.300: require('mason-core.installer.InstallLocation')
182.980  000.278  000.278: require('mason-core.log')
182.982  000.541  000.263: require('mason-core.EventEmitter')
183.231  000.248  000.248: require('mason-registry.sources')
183.235  001.145  000.356: require('mason-registry')
183.237  005.390  000.295: require('mason')
183.700  000.393  000.393: require('mason.api.command')
184.279  000.258  000.258: require('mason-lspconfig.settings')
184.280  000.578  000.319: require('mason-lspconfig')
184.628  000.343  000.343: require('mason-core.async')
185.246  000.317  000.317: require('mason-core.async.control')
185.486  000.239  000.239: require('mason-core.result')
185.999  000.187  000.187: require('mason-core.async.uv')
186.003  000.516  000.328: require('mason-core.fs')
186.052  001.423  000.351: require('mason-registry.installer')
187.031  000.298  000.298: require('mason-core.optional')
188.075  000.335  000.335: require('mason-core.process')
188.312  000.235  000.235: require('mason-core.spawn')
188.350  000.900  000.330: require('mason-core.installer.managers.powershell')
188.707  000.357  000.357: require('mason.version')
188.710  001.676  000.420: require('mason-core.fetch')
188.920  000.209  000.209: require('mason-core.providers')
190.021  000.407  000.407: require('mason-core.purl')
190.026  000.665  000.258: require('mason-core.package.AbstractPackage')
191.600  000.386  000.386: require('mason-core.installer.compiler.expr')
191.605  000.801  000.415: require('mason-core.installer.compiler.link')
193.340  000.329  000.329: require('mason-core.installer.context.InstallContextCwd')
193.629  000.288  000.288: require('mason-core.installer.context.InstallContextFs')
194.017  000.388  000.388: require('mason-core.installer.context.InstallContextSpawn')
194.608  000.588  000.588: require('mason-core.receipt')
194.621  002.013  000.420: require('mason-core.installer.context')
194.623  002.380  000.367: require('mason-core.installer')
194.639  002.749  000.369: require('mason-core.installer.managers.std')
194.641  003.036  000.286: require('mason-core.installer.compiler.schemas')
194.904  000.262  000.262: require('mason-core.installer.compiler.util')
194.911  004.527  000.429: require('mason-core.installer.compiler')
199.459  004.546  004.546: require('mason-core.installer.linker')
199.463  009.436  000.362: require('mason-core.installer.InstallRunner')
199.831  000.364  000.364: require('mason-core.installer.UninstallRunner')
199.835  010.723  000.258: require('mason-core.package')
199.838  010.918  000.195: require('mason-registry.sources.util')
199.846  013.379  000.278: require('mason-registry.sources.github')
203.986  000.299  000.299: require('mason-lspconfig.notify')
204.006  000.751  000.452: require('mason-lspconfig.api.command')
204.845  000.371  000.371: require('cmp_nvim_lsp.source')
204.847  000.839  000.468: require('cmp_nvim_lsp')
207.824  000.441  000.441: require('vim.lsp.log')
209.021  001.196  001.196: require('vim.lsp.protocol')
210.340  001.316  001.316: require('vim.lsp.util')
211.367  000.483  000.483: require('vim.lsp.sync')
211.370  001.028  000.545: require('vim.lsp._changetracking')
212.569  000.460  000.460: require('vim.lsp._transport')
212.628  001.256  000.796: require('vim.lsp.rpc')
212.678  006.551  001.312: require('vim.lsp')
212.725  007.108  000.557: require('lspconfig.util')
213.057  000.331  000.331: require('lspconfig.async')
213.059  007.868  000.429: require('lspconfig.configs')
213.063  008.214  000.346: require('lspconfig')
213.378  000.288  000.288: require('lspconfig.configs.elixirls')
214.001  000.424  000.424: require('lspconfig.manager')
215.111  000.786  000.786: require('vim.iter')
215.794  000.255  000.255: require('elixir.elixirls.version')
216.495  000.433  000.433: require('elixir.utils')
216.497  000.702  000.269: require('elixir.elixirls.download')
217.279  000.780  000.780: require('elixir.elixirls.compile')
217.407  002.295  000.557: require('elixir.elixirls')
217.638  000.230  000.230: require('elixir.credo')
217.980  000.341  000.341: require('elixir.nextls')
218.886  000.216  000.216: require('elixir.mix.git')
218.887  000.433  000.217: require('elixir.mix.exs')
218.889  000.643  000.211: require('elixir.mix.wrapper')
218.890  000.909  000.265: require('elixir.mix')
219.245  000.034  000.034: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:547
219.249  000.358  000.323: require('elixir.projectionist')
219.256  005.254  000.337: require('elixir')
221.231  000.470  000.470: require('nio.tasks')
221.845  000.612  000.612: require('nio.control')
222.591  000.745  000.745: require('nio.uv')
222.911  000.319  000.319: require('nio.tests')
223.753  000.548  000.548: require('vim.ui')
223.757  000.846  000.298: require('nio.ui')
224.454  000.374  000.374: require('nio.streams')
224.455  000.697  000.323: require('nio.file')
225.489  000.306  000.306: require('nio.util')
225.596  000.732  000.426: require('nio.logger')
225.599  001.143  000.411: require('nio.lsp')
226.216  000.616  000.616: require('nio.process')
226.221  006.035  000.587: require('nio')
227.572  000.430  000.430: require('dap.utils')
227.604  001.382  000.953: require('dap')
229.451  000.014  000.014: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:830
229.454  000.351  000.337: require('dapui.config.highlights')
229.484  000.027  000.027: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:830
229.530  001.007  000.628: require('dapui.config')
229.534  001.534  000.527: require('dapui.util')
229.913  000.378  000.378: require('dapui.windows.layout')
229.916  002.310  000.398: require('dapui.windows')
230.323  000.406  000.406: require('dapui.controls')
230.326  010.637  000.504: require('dapui')
230.502  000.022  000.022: sourcing nvim_exec2() called at /Users/mustaphaf/.config/nvim/init.vim:830
232.319  001.272  001.272: require('dapui.client.types')
232.321  001.778  000.506: require('dapui.client')
232.708  000.386  000.386: require('dap.breakpoints')
233.023  000.308  000.308: require('dapui.client.lib')
262.594  000.749  000.749: require('dapui.render.canvas')
